"caso","trabajos","maquinas","semilla_instancia","configuracion","semilla","mejor_makespan","tiempo_segundos","soluciones_infactivas","porcentaje_infactivas","metodo_kmeans","observacion"
"Mediano",15,14,"1514","D",2,900,3.826788,0,0,"stats.kmeans","4 KM perfil1_carga + SPT; orden [1, 6, 4, 2, 10, 12, 14, 15, 3, 7, 5, 8, 11, 13, 9]; 4 KM perfil1_carga + LPT; orden [9, 13, 11, 8, 5, 7, 3, 15, 12, 14, 10, 2, 4, 6, 1]; 4 KM perfil2_uso + MWR; orden [4, 6, 5, 1, 10, 3, 15, 14, 11, 7, 2, 9, 13, 12, 8]; 4 KM perfil2_uso + MOPNR; orden [4, 5, 1, 10, 6, 3, 11, 15, 14, 7, 2, 9, 12, 13, 8]; 4 aleatorios"
"Mediano",15,14,"1514","D",3,787,2.96551,0,0,"stats.kmeans","4 KM perfil1_carga + SPT; orden [1, 6, 4, 2, 10, 12, 14, 15, 3, 7, 5, 8, 11, 13, 9]; 4 KM perfil1_carga + LPT; orden [9, 13, 11, 8, 5, 7, 3, 15, 12, 14, 10, 2, 4, 6, 1]; 4 KM perfil2_uso + MWR; orden [4, 6, 5, 1, 10, 3, 15, 14, 11, 7, 2, 9, 13, 12, 8]; 4 KM perfil2_uso + MOPNR; orden [4, 5, 1, 10, 6, 3, 11, 15, 14, 7, 2, 9, 12, 13, 8]; 4 aleatorios"
"Grande",30,20,"3020","A",1,1797,8.659074,0,0,"no_aplica","Poblacion 100% aleatoria"
"Grande",30,20,"3020","A",2,1659,8.041429,0,0,"no_aplica","Poblacion 100% aleatoria"
"Grande",30,20,"3020","A",3,1668,7.465326,0,0,"no_aplica","Poblacion 100% aleatoria"
"Grande",30,20,"3020","B",1,1672,8.650296,0,0,"stats.kmeans","14 KM perfil1_carga + SPT; orden [1, 15, 11, 26, 4, 17, 24, 28, 3, 5, 27, 30, 21, 18, 20, 22, 29, 12, 10, 25, 2, 9, 6, 8, 13, 16, 7, 23, 19, 14]; 6 aleatorios"
"Grande",30,20,"3020","B",2,1714,7.752388,0,0,"stats.kmeans","14 KM perfil1_carga + SPT; orden [1, 15, 11, 26, 4, 17, 24, 28, 3, 5, 27, 30, 21, 18, 20, 22, 29, 12, 10, 25, 2, 9, 6, 8, 13, 16, 7, 23, 19, 14]; 6 aleatorios"
"Grande",30,20,"3020","B",3,1881,8.254619,0,0,"stats.kmeans","14 KM perfil1_carga + SPT; orden [1, 15, 11, 26, 4, 17, 24, 28, 3, 5, 27, 30, 21, 18, 20, 22, 29, 12, 10, 25, 2, 9, 6, 8, 13, 16, 7, 23, 19, 14]; 6 aleatorios"
"Grande",30,20,"3020","C",1,1784,7.855243,0,0,"stats.kmeans","8 KM perfil1_carga + SPT; orden [1, 15, 11, 26, 4, 17, 24, 28, 3, 5, 27, 30, 21, 18, 20, 22, 29, 12, 10, 25, 2, 9, 6, 8, 13, 16, 7, 23, 19, 14]; 8 KM perfil2_uso + SPT; orden [2, 15, 13, 3, 5, 27, 20, 24, 12, 1, 25, 9, 16, 11, 21, 4, 14, 29, 10, 6, 8, 28, 7, 23, 30, 19, 26, 18, 17, 22]; 4 aleatorios"
"Grande",30,20,"3020","C",2,1620,7.703486,0,0,"stats.kmeans","8 KM perfil1_carga + SPT; orden [1, 15, 11, 26, 4, 17, 24, 28, 3, 5, 27, 30, 21, 18, 20, 22, 29, 12, 10, 25, 2, 9, 6, 8, 13, 16, 7, 23, 19, 14]; 8 KM perfil2_uso + SPT; orden [2, 15, 13, 3, 5, 27, 20, 24, 12, 1, 25, 9, 16, 11, 21, 4, 14, 29, 10, 6, 8, 28, 7, 23, 30, 19, 26, 18, 17, 22]; 4 aleatorios"
"Grande",30,20,"3020","C",3,1925,8.640199,0,0,"stats.kmeans","8 KM perfil1_carga + SPT; orden [1, 15, 11, 26, 4, 17, 24, 28, 3, 5, 27, 30, 21, 18, 20, 22, 29, 12, 10, 25, 2, 9, 6, 8, 13, 16, 7, 23, 19, 14]; 8 KM perfil2_uso + SPT; orden [2, 15, 13, 3, 5, 27, 20, 24, 12, 1, 25, 9, 16, 11, 21, 4, 14, 29, 10, 6, 8, 28, 7, 23, 30, 19, 26, 18, 17, 22]; 4 aleatorios"
"Grande",30,20,"3020","D",1,1677,7.916456,0,0,"stats.kmeans","4 KM perfil1_carga + SPT; orden [1, 15, 11, 26, 4, 17, 24, 28, 3, 5, 27, 30, 21, 18, 20, 22, 29, 12, 10, 25, 2, 9, 6, 8, 13, 16, 7, 23, 19, 14]; 4 KM perfil1_carga + LPT; orden [14, 19, 23, 7, 16, 13, 8, 6, 9, 2, 25, 10, 12, 29, 22, 20, 18, 21, 30, 27, 5, 3, 28, 24, 17, 4, 26, 11, 15, 1]; 4 KM perfil2_uso + MWR; orden [22, 17, 18, 26, 19, 30, 23, 7, 28, 8, 6, 10, 29, 14, 4, 21, 11, 16, 9, 25, 1, 12, 24, 20, 27, 5, 3, 13, 15, 2]; 4 KM perfil2_uso + MOPNR; orden [22, 18, 28, 10, 17, 19, 30, 8, 6, 26, 23, 7, 29, 14, 4, 11, 25, 21, 16, 9, 1, 12, 24, 20, 27, 5, 3, 15, 13, 2]; 4 aleatorios"
"Grande",30,20,"3020","D",2,1871,7.732303,0,0,"stats.kmeans","4 KM perfil1_carga + SPT; orden [1, 15, 11, 26, 4, 17, 24, 28, 3, 5, 27, 30, 21, 18, 20, 22, 29, 12, 10, 25, 2, 9, 6, 8, 13, 16, 7, 23, 19, 14]; 4 KM perfil1_carga + LPT; orden [14, 19, 23, 7, 16, 13, 8, 6, 9, 2, 25, 10, 12, 29, 22, 20, 18, 21, 30, 27, 5, 3, 28, 24, 17, 4, 26, 11, 15, 1]; 4 KM perfil2_uso + MWR; orden [22, 17, 18, 26, 19, 30, 23, 7, 28, 8, 6, 10, 29, 14, 4, 21, 11, 16, 9, 25, 1, 12, 24, 20, 27, 5, 3, 13, 15, 2]; 4 KM perfil2_uso + MOPNR; orden [22, 18, 28, 10, 17, 19, 30, 8, 6, 26, 23, 7, 29, 14, 4, 11, 25, 21, 16, 9, 1, 12, 24, 20, 27, 5, 3, 15, 13, 2]; 4 aleatorios"
"Grande",30,20,"3020","D",3,1801,7.967287,0,0,"stats.kmeans","4 KM perfil1_carga + SPT; orden [1, 15, 11, 26, 4, 17, 24, 28, 3, 5, 27, 30, 21, 18, 20, 22, 29, 12, 10, 25, 2, 9, 6, 8, 13, 16, 7, 23, 19, 14]; 4 KM perfil1_carga + LPT; orden [14, 19, 23, 7, 16, 13, 8, 6, 9, 2, 25, 10, 12, 29, 22, 20, 18, 21, 30, 27, 5, 3, 28, 24, 17, 4, 26, 11, 15, 1]; 4 KM perfil2_uso + MWR; orden [22, 17, 18, 26, 19, 30, 23, 7, 28, 8, 6, 10, 29, 14, 4, 21, 11, 16, 9, 25, 1, 12, 24, 20, 27, 5, 3, 13, 15, 2]; 4 KM perfil2_uso + MOPNR; orden [22, 18, 28, 10, 17, 19, 30, 8, 6, 26, 23, 7, 29, 14, 4, 11, 25, 21, 16, 9, 1, 12, 24, 20, 27, 5, 3, 15, 13, 2]; 4 aleatorios"
