"caso","semilla_instancia","configuracion","semilla","generacion","mejor_makespan"
"Base","proporcionada","B",3,30,300
"Base","proporcionada","B",3,31,300
"Base","proporcionada","B",3,32,300
"Base","proporcionada","B",3,33,300
"Base","proporcionada","B",3,34,300
"Base","proporcionada","B",3,35,300
"Base","proporcionada","B",3,36,300
"Base","proporcionada","B",3,37,300
"Base","proporcionada","B",3,38,300
"Base","proporcionada","B",3,39,300
"Base","proporcionada","B",3,40,300
"Base","proporcionada","B",3,41,300
"Base","proporcionada","B",3,42,300
"Base","proporcionada","B",3,43,300
"Base","proporcionada","B",3,44,300
"Base","proporcionada","B",3,45,300
"Base","proporcionada","B",3,46,300
"Base","proporcionada","B",3,47,300
"Base","proporcionada","B",3,48,300
"Base","proporcionada","B",3,49,300
"Base","proporcionada","B",3,50,300
"Base","proporcionada","C",1,1,300
"Base","proporcionada","C",1,2,300
"Base","proporcionada","C",1,3,300
"Base","proporcionada","C",1,4,300
"Base","proporcionada","C",1,5,300
"Base","proporcionada","C",1,6,300
"Base","proporcionada","C",1,7,300
"Base","proporcionada","C",1,8,300
"Base","proporcionada","C",1,9,300
"Base","proporcionada","C",1,10,280
"Base","proporcionada","C",1,11,280
"Base","proporcionada","C",1,12,280
"Base","proporcionada","C",1,13,280
"Base","proporcionada","C",1,14,280
"Base","proporcionada","C",1,15,280
"Base","proporcionada","C",1,16,280
"Base","proporcionada","C",1,17,280
"Base","proporcionada","C",1,18,280
"Base","proporcionada","C",1,19,280
"Base","proporcionada","C",1,20,280
"Base","proporcionada","C",1,21,280
"Base","proporcionada","C",1,22,280
"Base","proporcionada","C",1,23,280
"Base","proporcionada","C",1,24,280
"Base","proporcionada","C",1,25,280
"Base","proporcionada","C",1,26,280
"Base","proporcionada","C",1,27,280
"Base","proporcionada","C",1,28,280
"Base","proporcionada","C",1,29,280
"Base","proporcionada","C",1,30,280
"Base","proporcionada","C",1,31,280
"Base","proporcionada","C",1,32,280
"Base","proporcionada","C",1,33,280
"Base","proporcionada","C",1,34,280
"Base","proporcionada","C",1,35,280
"Base","proporcionada","C",1,36,280
"Base","proporcionada","C",1,37,280
"Base","proporcionada","C",1,38,280
"Base","proporcionada","C",1,39,280
"Base","proporcionada","C",1,40,280
"Base","proporcionada","C",1,41,280
"Base","proporcionada","C",1,42,280
"Base","proporcionada","C",1,43,280
"Base","proporcionada","C",1,44,280
"Base","proporcionada","C",1,45,280
"Base","proporcionada","C",1,46,280
"Base","proporcionada","C",1,47,280
"Base","proporcionada","C",1,48,280
"Base","proporcionada","C",1,49,280
"Base","proporcionada","C",1,50,280
"Base","proporcionada","C",2,1,300
"Base","proporcionada","C",2,2,300
"Base","proporcionada","C",2,3,300
"Base","proporcionada","C",2,4,300
"Base","proporcionada","C",2,5,300
"Base","proporcionada","C",2,6,300
"Base","proporcionada","C",2,7,300
"Base","proporcionada","C",2,8,300
"Base","proporcionada","C",2,9,300
"Base","proporcionada","C",2,10,300
"Base","proporcionada","C",2,11,300
"Base","proporcionada","C",2,12,300
"Base","proporcionada","C",2,13,300
"Base","proporcionada","C",2,14,300
"Base","proporcionada","C",2,15,300
"Base","proporcionada","C",2,16,300
"Base","proporcionada","C",2,17,300
"Base","proporcionada","C",2,18,300
"Base","proporcionada","C",2,19,300
"Base","proporcionada","C",2,20,300
"Base","proporcionada","C",2,21,300
"Base","proporcionada","C",2,22,300
"Base","proporcionada","C",2,23,300
"Base","proporcionada","C",2,24,300
"Base","proporcionada","C",2,25,300
"Base","proporcionada","C",2,26,300
"Base","proporcionada","C",2,27,300
"Base","proporcionada","C",2,28,300
"Base","proporcionada","C",2,29,300
"Base","proporcionada","C",2,30,300
"Base","proporcionada","C",2,31,300
"Base","proporcionada","C",2,32,300
"Base","proporcionada","C",2,33,300
"Base","proporcionada","C",2,34,300
"Base","proporcionada","C",2,35,300
"Base","proporcionada","C",2,36,300
"Base","proporcionada","C",2,37,300
"Base","proporcionada","C",2,38,300
"Base","proporcionada","C",2,39,300
"Base","proporcionada","C",2,40,300
"Base","proporcionada","C",2,41,300
"Base","proporcionada","C",2,42,300
"Base","proporcionada","C",2,43,300
"Base","proporcionada","C",2,44,300
"Base","proporcionada","C",2,45,300
"Base","proporcionada","C",2,46,300
"Base","proporcionada","C",2,47,300
"Base","proporcionada","C",2,48,300
"Base","proporcionada","C",2,49,300
"Base","proporcionada","C",2,50,300
"Base","proporcionada","C",3,1,300
"Base","proporcionada","C",3,2,300
"Base","proporcionada","C",3,3,300
"Base","proporcionada","C",3,4,300
"Base","proporcionada","C",3,5,300
"Base","proporcionada","C",3,6,300
"Base","proporcionada","C",3,7,300
"Base","proporcionada","C",3,8,300
"Base","proporcionada","C",3,9,300
"Base","proporcionada","C",3,10,300
"Base","proporcionada","C",3,11,300
"Base","proporcionada","C",3,12,300
"Base","proporcionada","C",3,13,300
"Base","proporcionada","C",3,14,300
"Base","proporcionada","C",3,15,300
"Base","proporcionada","C",3,16,300
"Base","proporcionada","C",3,17,300
"Base","proporcionada","C",3,18,300
"Base","proporcionada","C",3,19,300
"Base","proporcionada","C",3,20,300
"Base","proporcionada","C",3,21,300
"Base","proporcionada","C",3,22,300
"Base","proporcionada","C",3,23,300
"Base","proporcionada","C",3,24,300
"Base","proporcionada","C",3,25,300
"Base","proporcionada","C",3,26,300
"Base","proporcionada","C",3,27,300
"Base","proporcionada","C",3,28,300
"Base","proporcionada","C",3,29,300
"Base","proporcionada","C",3,30,300
"Base","proporcionada","C",3,31,300
"Base","proporcionada","C",3,32,300
"Base","proporcionada","C",3,33,300
"Base","proporcionada","C",3,34,300
"Base","proporcionada","C",3,35,300
"Base","proporcionada","C",3,36,300
"Base","proporcionada","C",3,37,300
