caso,semilla_instancia,configuracion,semilla,generacion,mejor_makespan
Base,proporcionada,C,3,28,300.0
Base,proporcionada,C,3,29,300.0
Base,proporcionada,C,3,30,300.0
Base,proporcionada,C,3,31,300.0
Base,proporcionada,C,3,32,300.0
Base,proporcionada,C,3,33,300.0
Base,proporcionada,C,3,34,280.0
Base,proporcionada,C,3,35,280.0
Base,proporcionada,C,3,36,280.0
Base,proporcionada,C,3,37,280.0
Base,proporcionada,C,3,38,280.0
Base,proporcionada,C,3,39,280.0
Base,proporcionada,C,3,40,280.0
Base,proporcionada,C,3,41,280.0
Base,proporcionada,C,3,42,280.0
Base,proporcionada,C,3,43,280.0
Base,proporcionada,C,3,44,280.0
Base,proporcionada,C,3,45,280.0
Base,proporcionada,C,3,46,280.0
Base,proporcionada,C,3,47,280.0
Base,proporcionada,C,3,48,280.0
Base,proporcionada,C,3,49,280.0
Base,proporcionada,C,3,50,280.0
Base,proporcionada,D,1,1,300.0
Base,proporcionada,D,1,2,300.0
Base,proporcionada,D,1,3,300.0
Base,proporcionada,D,1,4,300.0
Base,proporcionada,D,1,5,300.0
Base,proporcionada,D,1,6,300.0
Base,proporcionada,D,1,7,300.0
Base,proporcionada,D,1,8,300.0
Base,proporcionada,D,1,9,300.0
Base,proporcionada,D,1,10,300.0
Base,proporcionada,D,1,11,300.0
Base,proporcionada,D,1,12,300.0
Base,proporcionada,D,1,13,300.0
Base,proporcionada,D,1,14,300.0
Base,proporcionada,D,1,15,300.0
Base,proporcionada,D,1,16,280.0
Base,proporcionada,D,1,17,280.0
Base,proporcionada,D,1,18,280.0
Base,proporcionada,D,1,19,280.0
Base,proporcionada,D,1,20,280.0
Base,proporcionada,D,1,21,280.0
Base,proporcionada,D,1,22,280.0
Base,proporcionada,D,1,23,280.0
Base,proporcionada,D,1,24,280.0
Base,proporcionada,D,1,25,280.0
Base,proporcionada,D,1,26,280.0
Base,proporcionada,D,1,27,280.0
Base,proporcionada,D,1,28,280.0
Base,proporcionada,D,1,29,280.0
Base,proporcionada,D,1,30,280.0
Base,proporcionada,D,1,31,280.0
Base,proporcionada,D,1,32,280.0
Base,proporcionada,D,1,33,280.0
Base,proporcionada,D,1,34,280.0
Base,proporcionada,D,1,35,280.0
Base,proporcionada,D,1,36,280.0
Base,proporcionada,D,1,37,280.0
Base,proporcionada,D,1,38,280.0
Base,proporcionada,D,1,39,280.0
Base,proporcionada,D,1,40,280.0
Base,proporcionada,D,1,41,280.0
Base,proporcionada,D,1,42,280.0
Base,proporcionada,D,1,43,280.0
Base,proporcionada,D,1,44,280.0
Base,proporcionada,D,1,45,280.0
Base,proporcionada,D,1,46,280.0
Base,proporcionada,D,1,47,280.0
Base,proporcionada,D,1,48,280.0
Base,proporcionada,D,1,49,280.0
Base,proporcionada,D,1,50,280.0
Base,proporcionada,D,2,1,300.0
Base,proporcionada,D,2,2,300.0
Base,proporcionada,D,2,3,300.0
Base,proporcionada,D,2,4,300.0
Base,proporcionada,D,2,5,300.0
Base,proporcionada,D,2,6,300.0
Base,proporcionada,D,2,7,300.0
Base,proporcionada,D,2,8,300.0
Base,proporcionada,D,2,9,300.0
Base,proporcionada,D,2,10,300.0
Base,proporcionada,D,2,11,300.0
Base,proporcionada,D,2,12,300.0
Base,proporcionada,D,2,13,300.0
Base,proporcionada,D,2,14,300.0
Base,proporcionada,D,2,15,300.0
Base,proporcionada,D,2,16,300.0
Base,proporcionada,D,2,17,300.0
Base,proporcionada,D,2,18,300.0
Base,proporcionada,D,2,19,300.0
Base,proporcionada,D,2,20,300.0
Base,proporcionada,D,2,21,300.0
Base,proporcionada,D,2,22,300.0
Base,proporcionada,D,2,23,300.0
Base,proporcionada,D,2,24,300.0
Base,proporcionada,D,2,25,300.0
Base,proporcionada,D,2,26,300.0
Base,proporcionada,D,2,27,300.0
Base,proporcionada,D,2,28,300.0
Base,proporcionada,D,2,29,300.0
Base,proporcionada,D,2,30,300.0
Base,proporcionada,D,2,31,300.0
Base,proporcionada,D,2,32,300.0
Base,proporcionada,D,2,33,300.0
Base,proporcionada,D,2,34,300.0
Base,proporcionada,D,2,35,300.0
Base,proporcionada,D,2,36,300.0
Base,proporcionada,D,2,37,300.0
Base,proporcionada,D,2,38,300.0
Base,proporcionada,D,2,39,300.0
Base,proporcionada,D,2,40,300.0
Base,proporcionada,D,2,41,300.0
Base,proporcionada,D,2,42,300.0
Base,proporcionada,D,2,43,300.0
Base,proporcionada,D,2,44,300.0
Base,proporcionada,D,2,45,300.0
Base,proporcionada,D,2,46,300.0
Base,proporcionada,D,2,47,300.0
Base,proporcionada,D,2,48,300.0
Base,proporcionada,D,2,49,300.0
Base,proporcionada,D,2,50,300.0
Base,proporcionada,D,3,1,300.0
Base,proporcionada,D,3,2,280.0
Base,proporcionada,D,3,3,280.0
Base,proporcionada,D,3,4,280.0
Base,proporcionada,D,3,5,280.0
Base,proporcionada,D,3,6,280.0
Base,proporcionada,D,3,7,280.0
Base,proporcionada,D,3,8,280.0
Base,proporcionada,D,3,9,280.0
Base,proporcionada,D,3,10,280.0
Base,proporcionada,D,3,11,280.0
Base,proporcionada,D,3,12,280.0
Base,proporcionada,D,3,13,280.0
Base,proporcionada,D,3,14,280.0
Base,proporcionada,D,3,15,280.0
Base,proporcionada,D,3,16,280.0
Base,proporcionada,D,3,17,280.0
Base,proporcionada,D,3,18,280.0
Base,proporcionada,D,3,19,280.0
Base,proporcionada,D,3,20,280.0
Base,proporcionada,D,3,21,280.0
Base,proporcionada,D,3,22,280.0
Base,proporcionada,D,3,23,280.0
Base,proporcionada,D,3,24,280.0
Base,proporcionada,D,3,25,280.0
Base,proporcionada,D,3,26,280.0
Base,proporcionada,D,3,27,280.0
Base,proporcionada,D,3,28,280.0
Base,proporcionada,D,3,29,280.0
Base,proporcionada,D,3,30,280.0
Base,proporcionada,D,3,31,280.0
Base,proporcionada,D,3,32,280.0
Base,proporcionada,D,3,33,280.0
Base,proporcionada,D,3,34,280.0
Base,proporcionada,D,3,35,280.0
Base,proporcionada,D,3,36,280.0
Base,proporcionada,D,3,37,280.0
Base,proporcionada,D,3,38,280.0
Base,proporcionada,D,3,39,280.0
Base,proporcionada,D,3,40,280.0
Base,proporcionada,D,3,41,280.0
Base,proporcionada,D,3,42,280.0
Base,proporcionada,D,3,43,280.0
Base,proporcionada,D,3,44,280.0
Base,proporcionada,D,3,45,280.0
Base,proporcionada,D,3,46,280.0
Base,proporcionada,D,3,47,280.0
Base,proporcionada,D,3,48,280.0
Base,proporcionada,D,3,49,280.0
Base,proporcionada,D,3,50,280.0
Mediano,1514,A,1,1,985.0
Mediano,1514,A,1,2,936.0
Mediano,1514,A,1,3,936.0
Mediano,1514,A,1,4,889.0
Mediano,1514,A,1,5,868.0
Mediano,1514,A,1,6,836.0
Mediano,1514,A,1,7,836.0
Mediano,1514,A,1,8,808.0
Mediano,1514,A,1,9,804.0
Mediano,1514,A,1,10,800.0
Mediano,1514,A,1,11,800.0
Mediano,1514,A,1,12,800.0
Mediano,1514,A,1,13,800.0
Mediano,1514,A,1,14,800.0
Mediano,1514,A,1,15,800.0
Mediano,1514,A,1,16,800.0
Mediano,1514,A,1,17,800.0
Mediano,1514,A,1,18,800.0
Mediano,1514,A,1,19,800.0
Mediano,1514,A,1,20,800.0
Mediano,1514,A,1,21,800.0
Mediano,1514,A,1,22,800.0
Mediano,1514,A,1,23,800.0
Mediano,1514,A,1,24,800.0
Mediano,1514,A,1,25,800.0
Mediano,1514,A,1,26,800.0
Mediano,1514,A,1,27,800.0
Mediano,1514,A,1,28,800.0
Mediano,1514,A,1,29,800.0
Mediano,1514,A,1,30,800.0
Mediano,1514,A,1,31,800.0
Mediano,1514,A,1,32,800.0
Mediano,1514,A,1,33,800.0
Mediano,1514,A,1,34,800.0
Mediano,1514,A,1,35,800.0
Mediano,1514,A,1,36,800.0
Mediano,1514,A,1,37,800.0
Mediano,1514,A,1,38,800.0
Mediano,1514,A,1,39,800.0
Mediano,1514,A,1,40,800.0
Mediano,1514,A,1,41,800.0
Mediano,1514,A,1,42,800.0
Mediano,1514,A,1,43,800.0
Mediano,1514,A,1,44,800.0
Mediano,1514,A,1,45,800.0
Mediano,1514,A,1,46,800.0
Mediano,1514,A,1,47,800.0
Mediano,1514,A,1,48,800.0
Mediano,1514,A,1,49,800.0
Mediano,1514,A,1,50,800.0
Mediano,1514,A,2,1,924.0
Mediano,1514,A,2,2,924.0
Mediano,1514,A,2,3,887.0
Mediano,1514,A,2,4,870.0
Mediano,1514,A,2,5,870.0
Mediano,1514,A,2,6,870.0
Mediano,1514,A,2,7,861.0
