caso,trabajos,maquinas,semilla_instancia,configuracion,semilla,mejor_makespan,tiempo_segundos,soluciones_infactivas,porcentaje_infactivas,metodo_kmeans,observacion
Mediano,15,14,1514,D,2,791.0,1.619376,0,0.0,sklearn.KMeans,"4 KM perfil1_carga + SPT; orden [3, 7, 11, 13, 5, 8, 12, 15, 9, 2, 10, 1, 14, 6, 4]; 4 KM perfil1_carga + LPT; orden [4, 6, 14, 1, 10, 2, 9, 15, 12, 8, 5, 13, 11, 7, 3]; 4 KM perfil2_uso + MWR; orden [4, 6, 5, 1, 10, 3, 15, 14, 11, 7, 2, 9, 13, 12, 8]; 4 KM perfil2_uso + MOPNR; orden [4, 5, 1, 10, 6, 3, 11, 15, 14, 7, 2, 9, 12, 13, 8]; 4 aleatorios"
Mediano,15,14,1514,D,3,803.0,1.742434,0,0.0,sklearn.KMeans,"4 KM perfil1_carga + SPT; orden [8, 9, 3, 7, 5, 11, 13, 2, 10, 1, 12, 14, 15, 6, 4]; 4 KM perfil1_carga + LPT; orden [4, 6, 15, 12, 14, 1, 10, 2, 13, 11, 5, 7, 3, 9, 8]; 4 KM perfil2_uso + MWR; orden [9, 13, 12, 8, 5, 3, 15, 14, 11, 7, 2, 4, 6, 1, 10]; 4 KM perfil2_uso + MOPNR; orden [9, 12, 5, 13, 8, 3, 11, 15, 14, 7, 2, 4, 1, 10, 6]; 4 aleatorios"
Grande,30,20,3020,A,1,1881.0,5.634333,0,0.0,no_aplica,Poblacion 100% aleatoria
Grande,30,20,3020,A,2,1854.0,5.355591,0,0.0,no_aplica,Poblacion 100% aleatoria
Grande,30,20,3020,A,3,1767.0,5.475738,0,0.0,no_aplica,Poblacion 100% aleatoria
Grande,30,20,3020,B,1,1727.0,5.112224,0,0.0,sklearn.KMeans,"14 KM perfil1_carga + SPT; orden [12, 25, 9, 13, 7, 11, 4, 24, 14, 1, 10, 2, 15, 6, 8, 16, 23, 19, 26, 17, 28, 3, 5, 27, 30, 21, 18, 20, 22, 29]; 6 aleatorios"
Grande,30,20,3020,B,2,1811.0,4.915663,0,0.0,sklearn.KMeans,"14 KM perfil1_carga + SPT; orden [30, 26, 18, 5, 20, 22, 29, 12, 1, 10, 25, 2, 15, 9, 6, 8, 13, 16, 28, 3, 7, 23, 27, 11, 19, 21, 4, 17, 24, 14]; 6 aleatorios"
Grande,30,20,3020,B,3,1674.0,5.0232,0,0.0,sklearn.KMeans,"14 KM perfil1_carga + SPT; orden [27, 4, 24, 29, 28, 5, 30, 26, 18, 20, 22, 12, 1, 10, 25, 2, 15, 9, 6, 8, 13, 16, 3, 7, 23, 11, 19, 21, 17, 14]; 6 aleatorios"
Grande,30,20,3020,C,1,1714.0,5.16654,0,0.0,sklearn.KMeans,"8 KM perfil1_carga + SPT; orden [12, 25, 9, 13, 7, 11, 4, 24, 14, 1, 10, 2, 15, 6, 8, 16, 23, 19, 26, 17, 28, 3, 5, 27, 30, 21, 18, 20, 22, 29]; 8 KM perfil2_uso + SPT; orden [8, 28, 7, 30, 26, 18, 10, 2, 15, 6, 13, 3, 5, 27, 20, 17, 24, 22, 12, 1, 25, 9, 16, 23, 11, 19, 21, 4, 14, 29]; 4 aleatorios"
Grande,30,20,3020,C,2,1720.0,5.204334,0,0.0,sklearn.KMeans,"8 KM perfil1_carga + SPT; orden [30, 26, 18, 5, 20, 22, 29, 12, 1, 10, 25, 2, 15, 9, 6, 8, 13, 16, 28, 3, 7, 23, 27, 11, 19, 21, 4, 17, 24, 14]; 8 KM perfil2_uso + SPT; orden [10, 2, 15, 6, 23, 26, 17, 12, 1, 8, 16, 28, 7, 19, 18, 14, 25, 9, 13, 3, 5, 27, 11, 30, 21, 20, 4, 24, 22, 29]; 4 aleatorios"
Grande,30,20,3020,C,3,1797.0,5.10821,0,0.0,sklearn.KMeans,"8 KM perfil1_carga + SPT; orden [27, 4, 24, 29, 28, 5, 30, 26, 18, 20, 22, 12, 1, 10, 25, 2, 15, 9, 6, 8, 13, 16, 3, 7, 23, 11, 19, 21, 17, 14]; 8 KM perfil2_uso + SPT; orden [1, 10, 2, 15, 6, 3, 5, 20, 17, 24, 8, 28, 7, 23, 30, 19, 26, 18, 22, 12, 25, 9, 13, 16, 27, 11, 21, 4, 14, 29]; 4 aleatorios"
Grande,30,20,3020,D,1,1765.0,5.001672,0,0.0,sklearn.KMeans,"4 KM perfil1_carga + SPT; orden [12, 25, 9, 13, 7, 11, 4, 24, 14, 1, 10, 2, 15, 6, 8, 16, 23, 19, 26, 17, 28, 3, 5, 27, 30, 21, 18, 20, 22, 29]; 4 KM perfil1_carga + LPT; orden [29, 22, 20, 18, 21, 30, 27, 5, 3, 28, 17, 26, 19, 23, 16, 8, 6, 15, 2, 10, 1, 14, 24, 4, 11, 7, 13, 9, 25, 12]; 4 KM perfil2_uso + MWR; orden [29, 14, 4, 21, 19, 11, 23, 16, 9, 25, 1, 12, 22, 24, 17, 20, 27, 5, 3, 13, 6, 15, 2, 10, 18, 26, 30, 7, 28, 8]; 4 KM perfil2_uso + MOPNR; orden [29, 14, 4, 11, 25, 21, 19, 16, 9, 1, 23, 12, 22, 24, 10, 17, 20, 27, 5, 3, 6, 15, 13, 2, 18, 28, 30, 8, 26, 7]; 4 aleatorios"
Grande,30,20,3020,D,2,1745.0,5.13504,0,0.0,sklearn.KMeans,"4 KM perfil1_carga + SPT; orden [30, 26, 18, 5, 20, 22, 29, 12, 1, 10, 25, 2, 15, 9, 6, 8, 13, 16, 28, 3, 7, 23, 27, 11, 19, 21, 4, 17, 24, 14]; 4 KM perfil1_carga + LPT; orden [14, 24, 17, 4, 21, 19, 11, 27, 23, 7, 3, 28, 16, 13, 8, 6, 9, 15, 2, 25, 10, 1, 12, 29, 22, 20, 5, 18, 26, 30]; 4 KM perfil2_uso + MWR; orden [29, 22, 24, 4, 20, 21, 30, 11, 27, 5, 3, 13, 9, 25, 14, 18, 19, 7, 28, 16, 8, 1, 12, 17, 26, 23, 6, 15, 2, 10]; 4 KM perfil2_uso + MOPNR; orden [29, 22, 24, 4, 11, 25, 20, 21, 30, 27, 5, 3, 9, 13, 14, 18, 28, 19, 16, 8, 1, 7, 12, 10, 17, 6, 15, 26, 23, 2]; 4 aleatorios"
Grande,30,20,3020,D,3,1784.0,4.631993,0,0.0,sklearn.KMeans,"4 KM perfil1_carga + SPT; orden [27, 4, 24, 29, 28, 5, 30, 26, 18, 20, 22, 12, 1, 10, 25, 2, 15, 9, 6, 8, 13, 16, 3, 7, 23, 11, 19, 21, 17, 14]; 4 KM perfil1_carga + LPT; orden [14, 17, 21, 19, 11, 23, 7, 3, 16, 13, 8, 6, 9, 15, 2, 25, 10, 1, 12, 22, 20, 18, 26, 30, 5, 28, 29, 24, 4, 27]; 4 KM perfil2_uso + MWR; orden [29, 14, 4, 21, 11, 27, 16, 13, 9, 25, 12, 22, 18, 26, 19, 30, 23, 7, 28, 8, 24, 17, 20, 5, 3, 6, 15, 2, 10, 1]; 4 KM perfil2_uso + MOPNR; orden [29, 14, 4, 11, 25, 21, 27, 16, 9, 13, 12, 24, 10, 17, 20, 5, 3, 6, 15, 1, 2, 22, 18, 28, 19, 30, 8, 26, 23, 7]; 4 aleatorios"
